Driver Name,Id Measure W,Pitch,Roll,Yaw
Matt,223,2.06157,359.40526,158.16112
Matt,224,1.79487,357.98646,160.86625
Matt,225,3.15282,357.04208,162.96998
Matt,226,2.36978,357.25413,163.47603
Matt,227,0.45887,354.80532,164.86019
Matt,228,0.12977,354.87084,164.38599
Matt,229,359.58674,354.29299,166.84824
Matt,230,359.34814,355.65176,168.71025
Matt,231,0.64889,355.61057,170.72066
Matt,232,2.10176,355.62486,172.36798
Matt,233,1.70351,354.11724,175.55475
Matt,234,2.18711,354.50338,177.1681
Matt,235,1.46183,353.05367,178.96878
Matt,236,359.85787,353.04724,177.24285
Matt,237,358.41158,351.68245,175.56404
Matt,238,359.32696,351.19869,174.61965
Matt,239,359.50793,353.02983,173.38913
Matt,240,0.56445,353.31856,171.09728
Matt,241,0.33513,353.59995,168.33824
Matt,242,0.13286,355.4041,167.17592
Matt,243,358.60875,356.15251,167.72804
Matt,244,1.06331,356.02039,169.2568
Matt,245,0.58843,356.62824,169.71267
Matt,246,0.17919,357.70061,170.12761
Matt,247,358.06958,357.26675,170.0526
Matt,248,358.32019,357.12828,170.54374
Matt,249,357.74223,357.84687,169.06612
Matt,250,0.07961,358.07164,168.46044
Matt,251,1.0033,358.53128,170.11484
Matt,252,1.26754,0.1799,169.92925
Matt,253,0.15458,359.16803,169.92785
Matt,254,359.90793,359.22816,171.86436
Matt,255,359.79396,0.139,174.3494
Matt,256,1.18974,1.21522,176.84447
Matt,257,1.69333,1.13294,180.84565
Matt,258,4.29228,1.69919,183.60946
Matt,259,4.05275,359.81791,187.32742
Matt,260,4.2009,1.07265,188.64088
Matt,261,1.55156,0.66151,191.8249
Matt,262,2.24147,359.47388,194.18059
Matt,263,1.86691,358.39557,194.9634
Matt,264,1.95441,358.80481,196.41966
Matt,265,2.72743,0.29426,195.51243
Matt,266,2.19659,0.8794,195.07525
Matt,267,0.49154,359.32474,196.1642
Matt,268,1.10822,358.53765,195.65196
Matt,269,0.48087,357.61008,196.4429
Matt,270,1.38797,357.94897,195.98325
Matt,271,1.51712,357.59318,195.44367
Matt,272,1.58323,357.66893,196.87556
Matt,273,2.81867,356.63346,199.00434
Matt,274,2.50608,355.89813,199.88247
Matt,275,2.16907,354.43472,201.23076
Matt,276,0.24722,353.22502,201.22975
Matt,277,359.7114,353.18084,198.65616
Matt,278,359.45307,352.4657,196.67167
Matt,279,1.20872,354.05869,195.61862
Matt,280,2.13761,355.29735,194.05183
Matt,281,0.33107,354.48729,192.2395
Matt,282,0.08719,355.17882,191.37363
Matt,283,359.5752,355.75223,192.22045
Matt,284,359.69027,357.23028,194.07865
Matt,285,1.38256,356.11896,196.07844
Matt,286,1.97939,355.75458,197.43874
Matt,287,3.22896,356.79681,202.68122
Matt,288,2.15556,355.22624,212.37771
Matt,289,0.17097,354.40074,209.69819
Matt,290,357.00862,354.46077,205.22895
Matt,291,358.88071,354.04623,201.75344
Matt,292,0.99363,354.55259,200.50344
Matt,293,1.38706,355.5936,197.1587
Matt,294,0.61388,355.26641,193.07534
Matt,295,357.6307,355.88398,193.0981
Matt,296,355.3,357.26722,193.71172
Matt,297,356.90098,356.78658,193.51113
Matt,298,359.35691,355.22155,195.46569
Matt,299,0.22189,356.71345,194.15752
Matt,300,0.44346,356.02762,197.5725
Matt,301,357.9474,355.19903,199.25259
Matt,302,356.17629,356.35671,197.20286
Matt,303,356.23769,357.29699,194.1182
Matt,304,358.73446,358.82218,190.48197
Matt,305,0.92098,359.64713,186.6538
Matt,306,0.88522,359.6965,181.42673
Matt,307,359.68523,359.25946,185.12316
Matt,308,356.85662,359.56771,184.82927
Matt,309,357.31949,358.30747,184.11622
Matt,310,359.34751,355.84064,186.06433
Matt,311,0.06803,356.75214,189.76494
Matt,312,357.81424,358.88834,186.37488
Matt,313,356.00102,358.72532,188.1935
Matt,314,354.58433,358.77004,185.19711
Matt,315,354.7924,358.86625,182.69483
Matt,316,357.82941,359.70327,179.6468
